Country,Baking
St. Pierre & Miquelon,
Tonga,
Palau,
Dominica,
Vanuatu,
Hong Kong,100
Solomon Islands,
Eswatini,
Guyana,
Macao,87
St. Vincent & Grenadines,
Liechtenstein,
St. Kitts & Nevis,
Bermuda,
Papua New Guinea,
U.S. Virgin Islands,
Lesotho,
British Virgin Islands,
Turks & Caicos Islands,
Grenada,
Northern Mariana Islands,
Singapore,72
Barbados,
Trinidad & Tobago,70
Micronesia,
St. Lucia,
Kenya,68
Åland Islands,
Guernsey,
Nigeria,63
Zimbabwe,
Zambia,
Guam,
Fiji,
Jamaica,57
Liberia,
Seychelles,
Antigua & Barbuda,
Austria,53
Bahamas,
Uganda,
Germany,51
Namibia,
Aruba,
Botswana,
Brunei,
Greenland,
Suriname,
Ghana,44
Belize,
South Africa,44
Isle of Man,
Canada,42
Faroe Islands,
Philippines,42
Caribbean Netherlands,
French Polynesia,
Bhutan,
Sint Maarten,
Netherlands,40
Jersey,
Mauritius,
Malta,
Switzerland,40
Malawi,
Luxembourg,
New Zealand,38
Equatorial Guinea,
Curaçao,
Ireland,36
Sweden,36
Uzbekistan,36
Congo - Brazzaville,
United Kingdom,36
Cayman Islands,
United States,34
Samoa,
Sri Lanka,34
Australia,34
Thailand,31
Maldives,
Djibouti,
Gibraltar,
Sierra Leone,
United Arab Emirates,29
Bosnia & Herzegovina,27
Chad,
Norway,27
American Samoa,
Hungary,25
Iceland,
Belgium,25
Qatar,25
Mayotte,
Malaysia,23
Slovenia,
Rwanda,
Poland,21
Benin,
Ethiopia,
Andorra,
New Caledonia,
Laos,19
Tanzania,
France,17
French Guiana,
Croatia,17
St. Helena,
Indonesia,17
South Korea,17
Serbia,17
Cameroon,
Gabon,
Slovakia,14
Montenegro,
Madagascar,
Denmark,14
Bahrain,
Gambia,
Réunion,
Pakistan,14
North Macedonia,
Czechia,12
Lithuania,
Romania,12
Cyprus,
Finland,12
Turkmenistan,
Congo - Kinshasa,
Israel,12
Bulgaria,12
Taiwan,12
Guadeloupe,
Puerto Rico,
Iran,
Niger,
Lebanon,
Argentina,10
Nepal,10
Martinique,
Timor-Leste,
Oman,
Panama,
Burundi,
Bangladesh,8
Cape Verde,
India,8
Côte d’Ivoire,
Greece,8
Chile,8
Guinea,
Myanmar (Burma),
Burkina Faso,
Estonia,
Kuwait,8
Uruguay,
Algeria,6
China,
Togo,
Mongolia,
Mauritania,
Kosovo,
Paraguay,
Senegal,
Moldova,
Costa Rica,
Honduras,
Ecuador,6
Afghanistan,
Guatemala,
Mexico,6
El Salvador,
Tunisia,
Haiti,
Vietnam,6
Morocco,6
Dominican Republic,4
Peru,4
Spain,4
Mozambique,
Albania,
Latvia,
Mali,
Jordan,
Japan,4
Venezuela,4
Cambodia,
Somalia,
Cuba,
Colombia,4
Saudi Arabia,4
Portugal,
Nicaragua,
Bolivia,
Georgia,
Angola,
Libya,
Italy,2
Palestine,
Armenia,
Egypt,2
Iraq,
Ukraine,2
Yemen,
Syria,
Brazil,2
Tajikistan,
Russia,2
Sudan,
Azerbaijan,
Kyrgyzstan,
Belarus,
Kazakhstan,
Turkey,<1
Marshall Islands,
Comoros,
Anguilla,
Antarctica,
French Southern Territories,
St. Barthélemy,
Bouvet Island,
Central African Republic,
Cocos (Keeling) Islands,
Cook Islands,
Christmas Island,
Eritrea,
Western Sahara,
Falkland Islands (Islas Malvinas),
Guinea-Bissau,
Heard & McDonald Islands,
British Indian Ocean Territory,
Kiribati,
St. Martin,
Monaco,
Montserrat,
Norfolk Island,
Niue,
Nauru,
Pitcairn Islands,
North Korea,
South Georgia & South Sandwich Islands,
Svalbard & Jan Mayen,
San Marino,
South Sudan,
São Tomé & Príncipe,
Tokelau,
Tuvalu,
U.S. Outlying Islands,
Vatican City,
Wallis & Futuna,
