Week,Baking: (United States),Baking: (Worldwide),baking: (United Kingdom),baking: (Singapore),backen: (Germany)
04-08-19,47,44,27,19,23
11-08-19,46,43,27,19,23
18-08-19,47,43,29,22,23
25-08-19,45,42,28,19,22
01-09-19,46,42,30,23,30
08-09-19,46,41,27,18,32
15-09-19,47,42,30,21,34
22-09-19,48,42,30,18,35
29-09-19,49,41,29,20,40
06-10-19,50,43,29,20,39
13-10-19,51,44,29,20,41
20-10-19,52,44,31,20,50
27-10-19,53,42,34,18,42
03-11-19,53,43,28,20,39
10-11-19,57,45,30,20,40
17-11-19,62,46,31,19,44
24-11-19,100,55,28,20,48
01-12-19,51,44,28,22,49
08-12-19,56,45,30,19,44
15-12-19,64,50,34,23,46
22-12-19,92,61,33,24,41
29-12-19,63,52,27,19,33
05-01-20,58,44,26,19,28
12-01-20,56,43,28,20,30
19-01-20,58,45,28,18,32
26-01-20,54,43,28,18,34
02-02-20,55,44,27,19,32
09-02-20,55,46,31,20,39
16-02-20,52,45,31,24,39
23-02-20,51,46,31,24,40
01-03-20,49,45,27,26,40
08-03-20,48,45,30,24,41
15-03-20,61,54,37,25,61
22-03-20,78,65,67,30,74
29-03-20,83,84,98,36,76
05-04-20,95,97,100,46,100
12-04-20,91,100,99,61,57
19-04-20,82,98,90,69,46
26-04-20,78,99,99,84,53
03-05-20,75,93,92,100,47
10-05-20,74,89,88,91,43
17-05-20,70,91,79,84,49
24-05-20,66,76,65,72,41
31-05-20,58,74,59,54,41
07-06-20,59,76,60,54,43
14-06-20,58,77,52,54,35
21-06-20,59,76,46,46,29
28-06-20,63,74,47,42,31
05-07-20,56,71,43,46,32
12-07-20,56,70,39,42,31
19-07-20,57,69,40,38,30
26-07-20,60,71,40,37,29
